product_id,product_name,brand_name,ingredients,ingredients_parsed,ingredient_count_check
P505472,Gardener Candle,The Maker,['100% Pure Soy Wax with a Cotton Wick.'],100% pure soy wax with a cotton wick,1
P427415,100% Organic Cold-Pressed Rose Hip Seed Oil,The Ordinary,['Rosa Canina Seed Oil.'],rosa canina seed oil,1
P447596,100% Organic Cold-Pressed Moroccan Argan Oil,The Ordinary,['Argania Spinosa Kernel Oil.'],argania spinosa kernel oil,1
P455900,100% Plant-Derived Hemi-Squalane,The Ordinary,['C13-16 Isoparaffin.'],c13-16 isoparaffin,1
P455898,Pycnogenol 5%,The Ordinary,"['Propanediol, Pinus Pinaster Bark Extract.']",propanediol | pinus pinaster bark extract,2
P455338,100% L-Ascorbic Acid Powder,The Ordinary,['Ascorbic Acid.'],ascorbic acid,1
P442833,EUK 134 0.1%,The Ordinary,"['Propanediol, Ethylbisiminomethylguaiacol manganese chloride.']",propanediol | ethylbisiminomethylguaiacol manganese chloride,2
P468709,100% Niacinamide Powder,The Ordinary,['Niacinamide.'],niacinamide,1
P447597,100% Organic Virgin Chia Seed Oil,The Ordinary,['Salvia Hispanica Seed Oil.'],salvia hispanica seed oil,1
P455897,Ethylated Ascorbic Acid 15% Solution,The Ordinary,"['Propanediol, Ethyl Ascorbic Acid.']",propanediol | ethyl ascorbic acid,2
P474845,THE PUFF 5 Piece Set: Tone & Deeply Exfoliate,The Original MakeUp Eraser,"['80% Cotton, 20% Polyester.']",80% cotton | 20% polyester,2
P504702,Juicy Optimism 7 Piece MakeUp Eraser Set,The Original MakeUp Eraser,['100% Polyester.'],100% polyester,1
P483475,Earth Day Set,The Original MakeUp Eraser,['100% Polyester.'],100% polyester,1
P500018,Smiley MakeUp Eraser 7-Day Set,The Original MakeUp Eraser,['100% Polyester.'],100% polyester,1
P504898,Mini Pink Reusable MakeUp Eraser,The Original MakeUp Eraser,['100% Polyester.'],100% polyester,1
P481356,Eye Color Crème Eyeshadow Quad,TOM FORD,"['Matte:', 'Mica  Caprylic/Capric Triglyceride  Dimethicone  Diisostearyl Malate  Silica  Zinc Stearate  Caprylyl Glycol  Ethylhexylglycerin  Alumina  Tocopheryl Acetate  Synthetic Fluorphlogopite  Triethoxycaprylylsilane  C20-24 Olefin  [+/- Titanium Dioxide (Ci 77891)  Iron Oxides (Ci 77491)  Iron Oxides (Ci 77492)  Iron Oxides (Ci 77499)  Carmine (Ci 75470)  Ferric Ammonium Ferrocyanide (Ci 77510)  Ferric Ferrocyanide (Ci 77510)  Ultramarines (Ci 77007)  Blue 1 Lake (Ci 42090)  Yellow 5 Lake (Ci 19140)  Manganese Violet (Ci 77742)  Copper Powder (Ci 77400)  Chromium Hydroxide Green (Ci 77289)  Chromium Oxide Greens (Ci 77288)  Bronze Powder (Ci 77400)  Aluminum Powder (Ci 77000)  Bismuth Oxychloride (Ci 77163)].', 'Shimmer:', 'Synthetic Fluorphlogopite  Calcium Aluminum Borosilicate  Caprylic/Capric Triglyceride  Squalane  Dimethicone  Silica  Dicalcium Phosphate  Zinc Stearate  Calcium Sodium Borosilicate  Trimethylsiloxysilicate  Dimethicone/Vinyl Dimethicone Crosspolymer  Hydrogenated Styrene/ Isoprene Copolymer  Tocopheryl Acetate  Zea Mays (Corn) Starch  Glycerin  Ethylhexylglycerin  Caprylyl Glycol  C20-24 Olefin  Calcium Titanium Borosilicate  Tin Oxide  Alumina  Triethoxycaprylylsilane  Laureth-4  Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate  [+/- Mica  Titanium Dioxide (Ci 77891)  Iron Oxides (Ci 77491)  Iron Oxides (Ci 77492)  Iron Oxides (Ci 77499)  Aluminum Powder (Ci 77000)  Bismuth Oxychloride (Ci 77163)  Bronze Powder (Ci 77400)  Carmine (Ci 75470)  Chromium Hydroxide Green (Ci 77289)  Chromium Oxide Greens (Ci 77288)  Copper Powder (Ci 77400)  Ferric Ammonium Ferrocyanide (Ci 77510)  Ferric Ferrocyanide (Ci 77510)  Manganese Violet (Ci 77742)  Ultramarines (Ci 77007)  Blue 1 Lake (Ci 42090)  Yellow 5 Lake (Ci 19140)].']",mica  caprylic/capric triglyceride  dimethicone  diisostearyl malate  silica  zinc stearate  caprylyl glycol  ethylhexylglycerin  alumina  tocopheryl acetate  synthetic fluorphlogopite  triethoxycaprylylsilane  c20-24 olefin  +/- titanium dioxide (ci 77891)  iron oxides (ci 77491)  iron oxides (ci 77492)  iron oxides (ci 77499)  carmine (ci 75470)  ferric ammonium ferrocyanide (ci 77510)  ferric ferrocyanide (ci 77510)  ultramarines (ci 77007)  blue 1 lake (ci 42090)  yellow 5 lake (ci 19140)  manganese violet (ci 77742)  copper powder (ci 77400)  chromium hydroxide green (ci 77289)  chromium oxide greens (ci 77288)  bronze powder (ci 77400)  aluminum powder (ci 77000)  bismuth oxychloride (ci 77163) | synthetic fluorphlogopite  calcium aluminum borosilicate  caprylic/capric triglyceride  squalane  dimethicone  silica  dicalcium phosphate  zinc stearate  calcium sodium borosilicate  trimethylsiloxysilicate  dimethicone/vinyl dimethicone crosspolymer  hydrogenated styrene/ isoprene copolymer  tocopheryl acetate  zea mays (corn) starch  glycerin  ethylhexylglycerin  caprylyl glycol  c20-24 olefin  calcium titanium borosilicate  tin oxide  alumina  triethoxycaprylylsilane  laureth-4  pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate  +/- mica  titanium dioxide (ci 77891)  iron oxides (ci 77491)  iron oxides (ci 77492)  iron oxides (ci 77499)  aluminum powder (ci 77000)  bismuth oxychloride (ci 77163)  bronze powder (ci 77400)  carmine (ci 75470)  chromium hydroxide green (ci 77289)  chromium oxide greens (ci 77288)  copper powder (ci 77400)  ferric ammonium ferrocyanide (ci 77510)  ferric ferrocyanide (ci 77510)  manganese violet (ci 77742)  ultramarines (ci 77007)  blue 1 lake (ci 42090)  yellow 5 lake (ci 19140),2
P480194,Bitter Peach Candle,TOM FORD,['Contains ethyl linalool. May produce an allergic reaction.'],contains ethyl linalool. may produce an allergic reaction,1
P429277,Effortless - No Trim - Natural Lash Collection,Velour Lashes,"['Cruelty-free, Synthetic-Silk Material.']",cruelty-free | synthetic-silk material,2
P429278,Effortless Kit - No Trim No Measure Natural Lash Kit,Velour Lashes,"['False Lashes:', 'Cruelty Free, Synthetic Silk Material on an invisible band.', 'Lash Adhesive:']",cruelty free | synthetic silk material on an invisible band,2
P468423,Vegan Mink Luxe Lash Collection,Velour Lashes,['Vegan Mink Fiber.'],vegan mink fiber,1
P501532,Plant Fibre Lash Collection,Velour Lashes,"['Hemp-Derived Fibers, Cotton-Thread Band.']",hemp-derived fibers | cotton-thread band,2
