rank,canonical_name,total_mentions,variant_count,example_variants,risk_level,sub_weight,source,health_concern
1264,santalum album (sandalwood) oil,19,1,santalum album (sandalwood) oil,,,,
1265,cetrimonium methosulfate,19,1,cetrimonium methosulfate,,,,
1266,vitis vinifera (grape) juice,19,1,vitis vinifera (grape) juice,,,,
1267,plumeria rubra flower extract,19,1,plumeria rubra flower extract,,,,
1268,perilla ocymoides leaf extract,19,1,perilla ocymoides leaf extract,,,,
1269,selaginella lepidophylla (resurrection flower) extract,19,1,selaginella lepidophylla (resurrection flower) extract,,,,
1270,sambucus nigra (elder) flower extract,19,1,sambucus nigra (elder) flower extract,,,,
1271,chamomilla recutita (matricaria) flower extract (chamomile),19,1,chamomilla recutita (matricaria) flower extract (chamomile),,,,
1272,fucus vesiculosus (bladderwrack) (seaweed) extract,19,1,fucus vesiculosus (bladderwrack) (seaweed) extract,,,,
1273,tamarindus indica seed polysaccharide,19,1,tamarindus indica seed polysaccharide,,,,
1274,ci 73360 (red 30 lake),19,1,ci 73360 (red 30 lake),,,,
1275,paeonia suffruticosa root extract,19,1,paeonia suffruticosa root extract,,,,
1276,alpha-isomethyl-ionone,19,1,alpha-isomethyl-ionone,,,,
1277,narcissus tazetta bulb extract,19,1,narcissus tazetta bulb extract,,,,
1278,royal jelly extract,19,1,royal jelly extract,,,,
1279,polypropylsilsesquioxane,19,1,polypropylsilsesquioxane,,,,
1280,8-octahydro-2,19,1,8-octahydro-2,,,,
1281,glycine soja oil / soybean oil,19,1,glycine soja oil / soybean oil,,,,
1282,c13-16 isoparaffin,19,1,c13-16 isoparaffin,,,,
1283,calendula officinalis flower,19,1,calendula officinalis flower,,,,
1284,thymus serpyllum extract,19,1,thymus serpyllum extract,,,,
1285,naphtho2,19,1,naphtho2,,,,
1286,1-bfuran,19,1,1-bfuran,,,,
1287,dodecahydro-3a,19,1,dodecahydro-3a,,,,
1288,oryza sativa (rice) extract/oryza sativa extract,19,1,oryza sativa (rice) extract/oryza sativa extract,,,,
1289,gaultheria procumbens (wintergreen) oil,18,1,gaultheria procumbens (wintergreen) oil,,,,
1290,silk amino acids,18,1,silk amino acids,,,,
1291,glyceryl glucoside,18,1,glyceryl glucoside,,,,
1292,sodium salicylate,18,1,sodium salicylate,,,,
1293,polyglycerin-6,18,1,polyglycerin-6,,,,
1294,isomalt,18,1,isomalt,,,,
1295,hamamelis virginiana (witch hazel) leaf extract,18,1,hamamelis virginiana (witch hazel) leaf extract,,,,
1296,polyimide-1,18,1,polyimide-1,,,,
1297,tripeptide-1,18,1,tripeptide-1,,,,
1298,microcrystalline wax/cera microcristallina,18,1,microcrystalline wax/cera microcristallina,,,,
