raw_ingredient,canonical_name,frequency
galactoarabinan,galactoarabinan,64
rosa damascena flower water,rosa damascena flower water,64
salvia officinalis (sage) leaf extract,salvia officinalis (sage) leaf extract,64
ocimum basilicum (basil) flower/leaf extract,ocimum basilicum (basil) flower/leaf extract,64
myristyl alcohol,myristyl alcohol,64
ci 77891 / titanium dioxide,titanium dioxide (ci 77891),63
peg-40 stearate,peg-40 stearate,63
cocos nucifera (coconut) fruit extract,cocos nucifera oil,63
sorbitan sesquiisostearate,sorbitan sesquiisostearate,63
glyceryl behenate,glyceryl behenate,63
isopropyl isostearate,isopropyl isostearate,62
isostearyl neopentanoate,isostearyl neopentanoate,62
ethyl vanillin,ethyl vanillin,62
polyquaternium-51,polyquaternium-51,62
simethicone,simethicone,61
diethylhexyl syringylidenemalonate,diethylhexyl syringylidenemalonate,61
saccharum officinarum (sugar cane) extract,saccharum officinarum (sugar cane) extract,61
dihydroxyacetone,dihydroxyacetone,61
aluminum dimyristate,aluminum dimyristate,61
menthoxypropanediol,menthoxypropanediol,61
aluminum calcium sodium silicate,aluminum calcium sodium silicate,61
bronze powder (ci 77400),bronze powder (ci 77400),61
macrocystis pyrifera (kelp) extract,macrocystis pyrifera (kelp) extract,61
carica papaya (papaya) fruit extract,carica papaya (papaya) fruit extract,61
plankton extract,plankton extract,61
copper gluconate,copper gluconate,60
jasminum officinale (jasmine) flower extract,jasminum officinale (jasmine) flower extract,60
hydrogenated poly(c6-14 olefin),hydrogenated poly(c6-14 olefin),60
mica (ci 77019),mica (ci 77019),60
hexyl laurate,hexyl laurate,60
alpha-glucan oligosaccharide,alpha-glucan oligosaccharide,60
hydrogenated starch hydrolysate,hydrogenated starch hydrolysate,60
ext. violet 2 (ci 60730),ci 60730 (ext violet 2),60
water/aqua,water,59
macadamia ternifolia seed oil,macadamia ternifolia seed oil,59
phytosterols,phytosterols,59
red 7 (ci 15850),ci 15850 (red 7),59
glutamic acid,glutamic acid,59
sodium glycolate,sodium glycolate,59
peg-150 distearate,peg-150 distearate,59
hibiscus sabdariffa flower extract,hibiscus sabdariffa flower extract,59
isostearyl isostearate,isostearyl isostearate,59
triheptanoin,triheptanoin,59
3-o-ethyl ascorbic acid,ascorbic acid,59
ascorbyl tetraisopalmitate,ascorbic acid,58
ethyl acetate,ethyl acetate,58
acrylamide/sodium acryloyldimethyltaurate copolymer,acrylamide/sodium acryloyldimethyltaurate copolymer,58
aloe barbadensis flower extract,aloe barbadensis,58
barium sulfate,barium sulfate,58
ci 14700/red 4,ci 14700 (red 4),58
phenylpropanol,phenylpropanol,58
hydrolyzed keratin,hydrolyzed keratin,57
taurine,taurine,57
arachidyl glucoside,arachidyl glucoside,57
humulus lupulus (hops) extract,humulus lupulus (hops) extract,57
inulin,inulin,56
sodium lauroyl glutamate,sodium lauroyl glutamate,56
ci 60730/ext. violet 2,ci 60730 (ext violet 2),56
madecassoside,madecassoside,56
tapioca starch,tapioca starch,56
hydrolyzed silk,hydrolyzed silk,56
phytosteryl/octyldodecyl lauroyl glutamate,phytosteryl/octyldodecyl lauroyl glutamate,56
copper powder (ci 77400),copper powder (ci 77400),56
theobroma grandiflorum seed butter,theobroma grandiflorum seed butter,56
diphenylsiloxy phenyl trimethicone,diphenylsiloxy phenyl trimethicone,55
fragrance / parfum,parfum (fragrance),55
pantethine,pantethine,55
tremella fuciformis sporocarp extract,tremella fuciformis sporocarp extract,55
melaleuca alternifolia (tea tree) leaf oil,melaleuca alternifolia (tea tree) leaf oil,55
beta-carotene,beta-carotene,55
camelina sativa seed oil,camelina sativa seed oil,55
yeast extract\\faex\\extrait de levure,yeast extract/faex/extrait de levure,55
ci 77499 / iron oxides,iron oxides (ci 77499),55
charcoal powder,charcoal powder,55
squalene,squalene,55
bis-peg-18 methyl ether dimethyl silane,bis-peg-18 methyl ether dimethyl silane,55
propane,propane,55
pentaerythrityl tetraethylhexanoate,pentaerythrityl tetraethylhexanoate,55
disodium cocoamphodiacetate,disodium cocoamphodiacetate,55
sodium lauryl sulfate,sodium lauryl sulfate,55
butane,butane,54
iron oxides (ci 77492,iron oxides (ci 77492),54
erythritol,erythritol,54
anthemis nobilis flower oil,anthemis nobilis flower oil,54
lactobacillus,lactobacillus,54
polyglyceryl-10 laurate,polyglyceryl-10 laurate,54
lycium barbarum fruit extract,lycium barbarum fruit extract,54
hydrogenated polycyclopentadiene,hydrogenated polycyclopentadiene,54
hydroxypropyl guar hydroxypropyltrimonium chloride,hydroxypropyl guar hydroxypropyltrimonium chloride,54
acrylates/octylacrylamide copolymer,acrylates/octylacrylamide copolymer,53
theobroma cacao (cocoa) extract,theobroma cacao (cocoa) extract,53
butyl acetate,butyl acetate,53
propylene glycol dicaprate,propylene glycol,53
benzophenone-3,oxybenzone,53
methylchloroisothiazolinone,methylchloroisothiazolinone,53
behenic acid,behenic acid,53
c12-13 pareth-3,c12-13 pareth-3,53
peg-120 methyl glucose dioleate,peg-120 methyl glucose dioleate,53
cinnamidopropyltrimonium chloride,cinnamidopropyltrimonium chloride,52
ci 15985 (yellow 6),ci 15985 (yellow 6),52
hydroxyethyl urea,hydroxyethyl urea,52
ci 17200/red 33,ci 17200 (red 33),52
yellow 6 (ci 15985),ci 15985 (yellow 6),52
colloidal oatmeal,colloidal oatmeal,52
vaccinium myrtillus fruit extract,vaccinium myrtillus fruit extract,52
sorbitan laurate,sorbitan laurate,52
lens esculenta (lentil) fruit extract,lens esculenta (lentil) fruit extract,52
ceramide ng,ceramide ng,52
palmitoyl hexapeptide-12,palmitoyl hexapeptide-12,52
ubiquinone,ubiquinone,52
sodium saccharin,sodium saccharin,51
macadamia integrifolia seed oil,macadamia integrifolia seed oil,51
cystine bis-pg-propyl silanetriol,cystine bis-pg-propyl silanetriol,51
butylene glycol dicaprylate/dicaprate,butylene glycol,51
laureth-21,laureth-21,51
acetyl tributyl citrate,acetyl tributyl citrate,50
olea europaea (olive) leaf extract,olea europaea (olive) leaf extract,50
triticum vulgare (wheat) germ extract,triticum vulgare (wheat) germ extract,50
glycine soja (soybean) seed extract,glycine soja (soybean) seed extract,50
citrus grandis (grapefruit) peel oil,citrus grandis (grapefruit) peel oil,50
ethylhexyl stearate,ethylhexyl stearate,50
cetearyl isononanoate,cetearyl isononanoate,50
copernicia cerifera (carnauba) wax/cera carnauba/cire de carnauba,copernicia cerifera (carnauba) wax/cera carnauba/cire de carnauba,50
octyldodecyl neopentanoate,octyldodecyl neopentanoate,50
magnesium carbonate,magnesium carbonate,50
sodium polyaspartate,sodium polyaspartate,50
saccharomyces/magnesium ferment,saccharomyces/magnesium ferment,50
zinc oxide,zinc oxide (ci 77947),50
superoxide dismutase,superoxide dismutase,50
rubus idaeus (raspberry) fruit extract,rubus idaeus (raspberry) fruit extract,50
beta-glucan,beta-glucan,50
rubus idaeus (raspberry) seed oil,rubus idaeus (raspberry) seed oil,50
trifolium pratense (clover) flower extract,trifolium pratense (clover) flower extract,50
red 22 lake (ci 45380),red 22 lake (ci 45380),49
potassium phosphate,potassium phosphate,49
aloe barbadensis leaf juice*,aloe barbadensis,49
paeonia lactiflora root extract,paeonia lactiflora root extract,49
resveratrol,resveratrol,49
aqua,water,49
polyethylene terephthalate,polyethylene terephthalate,49
divinyldimethicone/dimethicone copolymer,divinyldimethicone/dimethicone copolymer,49
gardenia taitensis flower extract,gardenia taitensis flower extract,49
daucus carota sativa (carrot) root extract,daucus carota sativa (carrot) root extract,49
c12-13 pareth-23,c12-13 pareth-23,49
saccharomyces/copper ferment,saccharomyces/copper ferment,49
coco-caprylate,coco-caprylate,49
dextrin palmitate,dextrin palmitate,49
beeswax,beeswax,49
terminalia ferdinandiana fruit extract,terminalia ferdinandiana fruit extract,48
ci 77288 (chromium oxide greens),ci 77288 (chromium oxide green),48
red 33 lake (ci 17200),ci 17200 (red 33),48
saccharomyces lysate extract,saccharomyces lysate extract,48
nitrocellulose,nitrocellulose,48
polyglyceryl-10 stearate,polyglyceryl-10 stearate,48
fructose,fructose,48
oryza sativa (rice) starch,oryza sativa (rice) starch,48
camellia oleifera seed oil,camellia oleifera seed oil,48
ferulic acid,ferulic acid,48
polyglyceryl-6 polyricinoleate,polyglyceryl-6 polyricinoleate,48
water (aqua,water,48
polygonum cuspidatum root extract,polygonum cuspidatum root extract,47
magnesium gluconate,magnesium gluconate,47
lactobacillus ferment lysate,lactobacillus ferment lysate,47
isostearyl alcohol,isostearyl alcohol,47
glycerin*,glycerin,47
dimer dilinoleyl dimer dilinoleate,dimer dilinoleyl dimer dilinoleate,47
camellia japonica seed oil,camellia japonica seed oil,47
saccharomyces/silicon ferment,saccharomyces/silicon ferment,47
ergothioneine,ergothioneine,47
methyl 2-octynoate,methyl 2-octynoate,47
evernia prunastri (oakmoss) extract,evernia prunastri (oakmoss) extract,47
d-limonene,limonene,47
polyglyceryl-6 distearate,polyglyceryl-6 distearate,46
peg/ppg-14/7 dimethyl ether,peg/ppg-14/7 dimethyl ether,46
p-anisic acid,p-anisic acid,46
polyglyceryl-3 beeswax,polyglyceryl-3 beeswax,46
polyglyceryl-4 diisostearate/polyhydroxystearate/sebacate,polyglyceryl-4 diisostearate/polyhydroxystearate/sebacate,46
pisum sativum (pea) extract,pisum sativum (pea) extract,46
nelumbo nucifera flower extract,nelumbo nucifera flower extract,46
caprylic/capric/myristic/stearic triglyceride,caprylic/capric/myristic/stearic triglyceride,46
niacin,niacin,46
ci 60730 / ext. violet 2,ci 60730 (ext violet 2),46
bromelain,bromelain,46
saccharomyces/zinc ferment,saccharomyces/zinc ferment,46
citrus limon (lemon) peel extract,citrus limon (lemon) peel extract,46
iron oxides ci 77491,iron oxides (ci 77491),46
oenothera biennis (evening primrose) oil,oenothera biennis (evening primrose) oil,46
aqua (water/eau),water,46
sodium sulfate,sodium sulfate,46
glyceryl acrylate/acrylic acid copolymer,glyceryl acrylate/acrylic acid copolymer,45
helianthus annuus seed extract / sunflower seed extract,helianthus annuus seed oil,45
litchi chinensis pericarp extract,litchi chinensis pericarp extract,45
salvia hispanica seed oil,salvia hispanica seed oil,45
calcium chloride,calcium chloride,45
ci 45410 (red 28 lake),ci 45410 (red 28),45
lactococcus ferment lysate,lactococcus ferment lysate,45
tocopheryl acetate (vitamin e),tocopherol,45
citrus nobilis (mandarin orange) peel oil,citrus nobilis (mandarin orange) peel oil,45
phytantriol,phytantriol,44
yeast amino acids,yeast amino acids,44
litchi chinensis fruit extract,litchi chinensis fruit extract,44
arnica montana flower extract,arnica montana flower extract,44
cera microcristallina/microcrystalline wax/cire microcristalline,cera microcristallina/microcrystalline wax/cire microcristalline,44
lavandula hybrida oil,lavandula hybrida oil,44
polyglutamic acid,polyglutamic acid,44
hydrolyzed algin,hydrolyzed algin,44
crambe abyssinica seed oil,crambe abyssinica seed oil,44
keratin,keratin,44
saccharomyces/iron ferment,saccharomyces/iron ferment,44
biosaccharide gum-4,biosaccharide gum-4,44
quartz,quartz,44
palmitoyl tripeptide-5,palmitoyl tripeptide-5,44
c15-19 alkane,c15-19 alkane,43
safflower glucoside,safflower glucoside,43
chrysanthemum parthenium (feverfew) extract,chrysanthemum parthenium (feverfew) extract,43
bifida ferment lysate,bifida ferment lysate,43
octisalate 5%,octisalate,43
asiaticoside,asiaticoside,43
hypnea musciformis (algae) extract,hypnea musciformis (algae) extract,43
coffea arabica (coffee) seed extract,coffea arabica (coffee) seed extract,43
ci 77289 (chromium hydroxide green),ci 77289 (chromium hydroxide green),43
shea butter ethyl esters,shea butter,43
hydrogenated castor oil/sebacic acid copolymer,hydrogenated castor oil/sebacic acid copolymer,43
glucomannan,glucomannan,43
wheat amino acids,wheat amino acids,43
ci 77499/iron oxides,iron oxides (ci 77499),43
peg-9 polydimethylsiloxyethyl dimethicone,dimethicone,43
crithmum maritimum extract,crithmum maritimum extract,43
rubus idaeus (raspberry) leaf extract,rubus idaeus (raspberry) leaf extract,43
menthyl lactate,menthyl lactate,43
pantolactone,pantolactone,43
borago officinalis seed oil,borago officinalis seed oil,43
vitis vinifera (grape) fruit extract,vitis vinifera (grape) fruit extract,42
amaranthus caudatus seed extract,amaranthus caudatus seed extract,42
ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer,ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer,42
lavandula angustifolia (lavender) flower/leaf/stem extract,lavandula angustifolia (lavender) flower/leaf/stem extract,42
sodium bicarbonate,sodium bicarbonate,42
creatine,creatine,42
oryza sativa (rice) seed protein,oryza sativa (rice) seed protein,42
styrene/acrylates/ammonium methacrylate copolymer,styrene/acrylates/ammonium methacrylate copolymer,42
candelilla cera/euphorbia cerifera (candelilla) wax/cire de candelilla,candelilla cera/euphorbia cerifera (candelilla) wax/cire de candelilla,42
hippophae rhamnoides oil,hippophae rhamnoides oil,42
ananas sativus (pineapple) fruit extract,ananas sativus (pineapple) fruit extract,42
lysine,lysine,42
zeolite,zeolite,42
red 6 lake (ci 15850),ci 15850 (red 7),42
iodopropynyl butylcarbamate,iodopropynyl butylcarbamate,42
mandelic acid,mandelic acid,42
alaria esculenta extract,alaria esculenta extract,42
oleth-10,oleth-10,41
ziziphus jujuba fruit extract,ziziphus jujuba fruit extract,41
phytosteryl macadamiate,phytosteryl macadamiate,41
leontopodium alpinum flower/leaf extract,leontopodium alpinum flower/leaf extract,41
cocoglycerides,cocoglycerides,41
polyglyceryl-4 caprate,polyglyceryl-4 caprate,41
chondrus crispus (carrageenan) extract,chondrus crispus (carrageenan) extract,41
citrus aurantium dulcis (orange) peel extract,citrus aurantium dulcis (orange) peel extract,41
palmitoyl oligopeptide,palmitoyl oligopeptide,41
undaria pinnatifida extract,undaria pinnatifida extract,41
acetyl tetrapeptide-3,acetyl tetrapeptide-3,41
red 7 lake),ci 15850 (red 7),40
tocopheryl succinate,tocopheryl succinate,40
prunus amygdalus dulcis (sweet almond) seed meal,prunus amygdalus dulcis (sweet almond) seed meal,40
medicago sativa (alfalfa) seed powder,medicago sativa (alfalfa) seed powder,40
palmitoyl tripeptide-38,palmitoyl tripeptide-38,40
sambucus nigra fruit extract,sambucus nigra fruit extract,40
linum usitatissimum (linseed) seed extract,linum usitatissimum (linseed) seed extract,40
malva sylvestris (mallow) extract,malva sylvestris (mallow) extract,40
hydrogenated polydicyclopentadiene,hydrogenated polydicyclopentadiene,40
hydrogenated palm glycerides,hydrogenated palm glycerides,40
zinc chloride,zinc chloride,40
sodium formate,sodium formate,40
lauryl laurate,lauryl laurate,40
citrus paradisi (grapefruit) peel oil,citrus paradisi (grapefruit) peel oil,40
ferric ammonium ferrocyanide),ferric ammonium ferrocyanide),39
eucalyptus globulus (eucalyptus) leaf oil,eucalyptus globulus (eucalyptus) leaf oil,39
hordeum vulgare (barley) extract\\extrait d’orge,hordeum vulgare (barley) extract/extrait d’orge,39
sucrose stearate,sucrose stearate,39
butyrospermum parkii (shea) butter unsaponifiables,shea butter,39
ci 15850 (red 6),ci 15850 (red 7),39
sorbitan palmitate,sorbitan palmitate,39
montmorillonite,montmorillonite,39
punica granatum flower extract,punica granatum flower extract,39
linalyl acetate,linalyl acetate,39
beeswax/cera alba/cire d’abeille,beeswax/cera alba/cire d’abeille,39
hydroxypropyl cyclodextrin,hydroxypropyl cyclodextrin,39
brassica campestris (rapeseed) seed oil,brassica campestris (rapeseed) seed oil,39
yeast extract/faex/extrait de levure,yeast extract/faex/extrait de levure,38
cera microcristallina (microcrystalline wax),cera microcristallina (microcrystalline wax),38
ci 77510 (ferric ferrocyanide,ferric ferrocyanide (ci 77510),38
vaccinium macrocarpon (cranberry) fruit extract,vaccinium macrocarpon (cranberry) fruit extract,38
palmaria palmata extract,palmaria palmata extract,38
glutathione,glutathione,38
lactobacillus/portulaca oleracea ferment extract,lactobacillus/portulaca oleracea ferment extract,38
alcohol denat. (sd alcohol 39-c),alcohol denat,38
cetyl dimethicone,dimethicone,38
rosa hybrid flower extract,rosa hybrid flower extract,38
hydrolyzed linseed extract,hydrolyzed linseed extract,38
hydroxypropyltrimonium hydrolyzed wheat protein,hydroxypropyltrimonium hydrolyzed wheat protein,38
glycolipids,glycolipids,38
sesamum indicum (sesame) seed powder,sesamum indicum (sesame) seed powder,38
glyceryl polyacrylate,glyceryl polyacrylate,38
polyglyceryl-2 diisostearate,polyglyceryl-2 diisostearate,38
quaternium-91,quaternium-91,38
salvia hispanica seed extract,salvia hispanica seed extract,38
trideceth-10,trideceth-10,38
peg-55 propylene glycol oleate,propylene glycol,38
black 2 (ci 77266),ci 77266 (carbon black),38
phyllanthus emblica fruit extract,phyllanthus emblica fruit extract,38
stearyl stearate,stearyl stearate,38
parfum,parfum (fragrance),38
menthone glycerin acetal,glycerin,38
punica granatum extract,punica granatum extract,38
sodium metaphosphate,sodium metaphosphate,38
c14-22 alcohols,c14-22 alcohols,38
dipentaerythrityl hexahydroxystearate/hexastearate/hexarosinate,dipentaerythrityl hexahydroxystearate/hexastearate/hexarosinate,37
cyclodextrin,cyclodextrin,37
aminopropyl ascorbyl phosphate,ascorbic acid,37
citrus paradisi (grapefruit) fruit extract,citrus paradisi (grapefruit) fruit extract,37
heptyl undecylenate,heptyl undecylenate,37
polyquaternium-4,polyquaternium-4,37
citrus grandis (grapefruit) fruit extract,citrus grandis (grapefruit) fruit extract,37
chitosan,chitosan,37
ascophyllum nodosum extract,ascophyllum nodosum extract,37
ci 14700 / red 4,ci 14700 (red 4),37
sodium nitrate,sodium nitrate,37
trideceth-3,trideceth-3,37
glycol stearate,glycol stearate,37
diisopropyl adipate,diisopropyl adipate,37
sodium benzotriazolyl butylphenol sulfonate,sodium benzotriazolyl butylphenol sulfonate,37
agave tequilana leaf extract,agave tequilana leaf extract,37
citrus aurantium dulcis (orange) oil,citrus aurantium dulcis (orange) oil,37
peg-8 dimethicone,dimethicone,37
hydrogenated soybean oil,hydrogenated soybean oil,37
sericin,sericin,36
polymnia sonchifolia root juice,polymnia sonchifolia root juice,36
sorbitan tristearate,sorbitan tristearate,36
glyceryl laurate,glyceryl laurate,36
dodecane,dodecane,36
avobenzone 3%,butyl methoxydibenzoylmethane,36
hordeum vulgare (barley) extract/extrait d’orge,hordeum vulgare (barley) extract/extrait d’orge,36
adipic acid/neopentyl glycol/trimellitic anhydride copolymer,adipic acid/neopentyl glycol/trimellitic anhydride copolymer,36
ginkgo biloba leaf extract,ginkgo biloba leaf extract,36
calcium carbonate,calcium carbonate,36
citrus aurantifolia (lime) peel extract,citrus aurantifolia (lime) peel extract,36
red 7,ci 15850 (red 7),36
polyacrylate-13,polyacrylate-13,36
edta,disodium edta,36
biotinoyl tripeptide-1,biotinoyl tripeptide-1,36
tridecane,tridecane,36
chrysin,chrysin,36
saccharum officinarum (sugarcane) extract,saccharum officinarum (sugarcane) extract,36
caviar extract,caviar extract,36
sodium stearoyl lactylate,sodium stearoyl lactylate,36
hydroxypropyl guar,hydroxypropyl guar,36
peg-6 caprylic/capric glycerides,peg-6 caprylic/capric glycerides,36
polyquaternium-59,polyquaternium-59,36
undecane,undecane,36
ethyl linoleate,ethyl linoleate,35
citrulline,citrulline,35
cocos nucifera (coconut) fruit juice,cocos nucifera oil,35
lavandula angustifolia (lavender) flower extract,lavandula angustifolia (lavender) flower extract,35
cladosiphon okamuranus extract,cladosiphon okamuranus extract,35
magnolia officinalis bark extract,magnolia officinalis bark extract,35
c30-45 alkyl dimethicone,dimethicone,35
cocos nucifera (coconut) oil*,cocos nucifera oil,35
sucrose acetate isobutyrate,sucrose acetate isobutyrate,35
stearyl dimethicone,dimethicone,35
salicornia herbacea extract,salicornia herbacea extract,35
ci 19140 / yellow 5,ci 19140 (yellow 5),35
ribes nigrum (black currant) seed oil,ribes nigrum (black currant) seed oil,35
red 40 (ci 16035),ci 16035 (red 40),35
brassicamidopropyl dimethylamine,brassicamidopropyl dimethylamine,35
cannabis sativa seed oil,cannabis sativa seed oil,35
amylopectin,amylopectin,35
hydrolyzed collagen,hydrolyzed collagen,35
anthemis nobilis flower extract,anthemis nobilis flower extract,34
punica granatum (pomegranate) extract,punica granatum (pomegranate) extract,34
diisopropyl sebacate,diisopropyl sebacate,34
diacetone alcohol,diacetone alcohol,34
ceteth-20,ceteth-20,34
aloe barbadensis (aloe vera) leaf extract,aloe barbadensis,34
leuconostoc ferment filtrate,leuconostoc ferment filtrate,34
acrylates/ethylhexyl acrylate copolymer,acrylates/ethylhexyl acrylate copolymer,34
isoceteth-20,isoceteth-20,34
red 27 (ci 45410),ci 45410 (red 28),34
iron oxides ci 77499,iron oxides (ci 77499),34
bis-stearyl dimethicone,dimethicone,34
iron oxide (ci 77491),iron oxides (ci 77491),34
quaternium-87,quaternium-87,34
caesalpinia spinosa fruit extract,caesalpinia spinosa fruit extract,34
diamond powder,diamond powder,34
cynara scolymus (artichoke) leaf extract,cynara scolymus (artichoke) leaf extract,34
carnosine,carnosine,34
yeast extract,yeast extract,33
saccharomyces/rice ferment filtrate,saccharomyces/rice ferment filtrate,33
furcellaria lumbricalis extract,furcellaria lumbricalis extract,33
sucrose cocoate,sucrose cocoate,33
orbignya oleifera seed oil,orbignya oleifera seed oil,33
lonicera japonica (honeysuckle) flower extract,lonicera japonica (honeysuckle) flower extract,33
honey extract,honey extract,33
calendula officinalis (calendula) flower extract*,calendula officinalis (calendula) flower extract,33
medicago sativa (alfalfa) extract*,medicago sativa (alfalfa) extract,33
phosphoric acid,phosphoric acid,33
ci 15850 (red 6,ci 15850 (red 7),33
octocrylene,octocrylene,33
citrus aurantifolia (lime) oil,citrus aurantifolia (lime) oil,33
helianthus annuus seed oil / sunflower seed oil,helianthus annuus seed oil,33
sucrose tetrastearate triacetate,sucrose tetrastearate triacetate,33
trideceth-15,trideceth-15,33
ethyl macadamiate,ethyl macadamiate,33
dimethyl ether,dimethyl ether,33
kappaphycus alvarezii extract,kappaphycus alvarezii extract,33
sodium stearate,sodium stearate,33
methyldihydrojasmonate,methyldihydrojasmonate,33
hydrogenated jojoba oil,jojoba oil,33
triolein,triolein,32
sodium sulfite,sodium sulfite,32
hedychium coronarium root extract,hedychium coronarium root extract,32
distearyldimonium chloride,distearyldimonium chloride,32
hydrogenated olive oil stearyl esters,hydrogenated olive oil stearyl esters,32
sd alcohol 40-b/alcohol denat,alcohol denat,32
cera carnauba/copernicia cerifera (carnauba) wax/cire de carnauba,cera carnauba/copernicia cerifera (carnauba) wax/cire de carnauba,32
brassica oleracea acephala (kale) leaf extract,brassica oleracea acephala (kale) leaf extract,32
tropaeolum majus flower/leaf/stem extract,tropaeolum majus flower/leaf/stem extract,32
lilium candidum bulb extract,lilium candidum bulb extract,32
sodium myristoyl glutamate,sodium myristoyl glutamate,32
hydrogenated microcrystalline wax,hydrogenated microcrystalline wax,32
brassica alcohol,brassica alcohol,32
lauramidopropyl betaine,lauramidopropyl betaine,32
pistacia lentiscus (mastic) gum,pistacia lentiscus (mastic) gum,32
cananga odorata flower oil,cananga odorata flower oil,32
glucosamine hcl,glucosamine hcl,32
iris florentina root extract,iris florentina root extract,32
hydrolyzed corn starch,hydrolyzed corn starch,32
cetyl hydroxyethylcellulose,cetyl hydroxyethylcellulose,32
musa sapientum (banana) fruit extract,musa sapientum (banana) fruit extract,32
gardenia florida fruit extract,gardenia florida fruit extract,32
peg/ppg-17/18 dimethicone,dimethicone,32
hydrogenated palm glycerides citrate,hydrogenated palm glycerides citrate,32
microcrystalline wax (cera microcristallina),microcrystalline wax (cera microcristallina),32
sodium lauroamphoacetate,sodium lauroamphoacetate,32
theobroma cacao (cocoa) seed extract,theobroma cacao (cocoa) seed extract,31
urtica dioica (nettle) leaf extract,urtica dioica (nettle) leaf extract,31
methyl glucose sesquistearate,methyl glucose sesquistearate,31
acrylates/beheneth-25 methacrylate copolymer,acrylates/beheneth-25 methacrylate copolymer,31
cocamide mea,cocamide mea,31
rosa canina fruit extract,rosa canina fruit oil,31
saccharomyces cerevisiae extract,saccharomyces cerevisiae extract,31
lauraldehyde,lauraldehyde,31
fucus vesiculosus extract,fucus vesiculosus extract,31
soy isoflavones,soy isoflavones,31
houttuynia cordata extract,houttuynia cordata extract,31
ci 77491/77492/77499 (iron oxides),iron oxides (ci 77491),31
glyceryl linoleate,glyceryl linoleate,31
hexanal,hexanal,31
c12-20 alkyl glucoside,c12-20 alkyl glucoside,31
ci 77499,iron oxides (ci 77499),31
vaccinium macrocarpon (cranberry) seed oil,vaccinium macrocarpon (cranberry) seed oil,31
levulinic acid,levulinic acid,31
hydroxyproline,hydroxyproline,31
sorbitan oleate decylglucoside crosspolymer,sorbitan oleate decylglucoside crosspolymer,31
n-hydroxysuccinimide,n-hydroxysuccinimide,31
glyceryl behenate/eicosadioate,glyceryl behenate/eicosadioate,31
albizia julibrissin bark extract,albizia julibrissin bark extract,31
gold,gold,31
sodium ascorbyl phosphate,ascorbic acid,31
flavor (aroma),flavor (aroma),31
lactobacillus/punica granatum fruit ferment extract,lactobacillus/punica granatum fruit ferment extract,31
disodium cocoyl glutamate,disodium cocoyl glutamate,31
hippophae rhamnoides (sea buckthorn/argousier) fruit/seed oil,hippophae rhamnoides (sea buckthorn/argousier) fruit/seed oil,31
disiloxane,disiloxane,31
iron oxide (ci 77499),iron oxides (ci 77499),31
beheneth-30,beheneth-30,31
olea europaea (olive) oil,olea europaea (olive) oil,31
citric acid*,citric acid,30
rosa damascena flower extract,rosa damascena flower extract,30
ci 45410 (red 27,ci 45410 (red 28),30
red 28 lake),ci 45410 (red 28),30
ci 73360 (red 30,ci 73360 (red 30,30
red 30 lake),red 30 lake),30
glycine soja (soybean) sterols,glycine soja (soybean) sterols,30
copper pca,copper pca,30
tropolone,tropolone,30
erythrulose,erythrulose,30
ethylparaben,ethylparaben,30
fd&c red no. 4 (ci 14700),ci 14700 (red 4),30
hydrolyzed rice extract,hydrolyzed rice extract,30
+/- ci 77891 (titanium dioxide),titanium dioxide (ci 77891),30
peg-150 pentaerythrityl tetrastearate,peg-150 pentaerythrityl tetrastearate,30
haematococcus pluvialis extract,haematococcus pluvialis extract,30
water/eau,water,30
myristyl nicotinate,myristyl nicotinate,30
algae (seaweed) extract,algae (seaweed) extract,30
althaea officinalis root extract,althaea officinalis root extract,30
phytosteryl/isostearyl/cetyl/stearyl/behenyl dimer dilinoleate,phytosteryl/isostearyl/cetyl/stearyl/behenyl dimer dilinoleate,30
c12-16 pareth-9,c12-16 pareth-9,30
adansonia digitata (baobab) oil,adansonia digitata (baobab) oil,30
santalum album (sandalwood) extract,santalum album (sandalwood) extract,30
quaternium-80,quaternium-80,30
collagen,hydrolyzed collagen,30
ammonium polyacryloyldimethyl taurate,ammonium polyacryloyldimethyl taurate,30
acetyl octapeptide-3,acetyl octapeptide-3,30
potassium benzoate,potassium benzoate,30
mentha viridis (spearmint) leaf oil,mentha viridis (spearmint) leaf oil,30
saccharomyces ferment filtrate,saccharomyces ferment filtrate,30
laminaria ochroleuca extract,laminaria ochroleuca extract,30
beta-sitosterol,beta-sitosterol,30
isocetyl stearate,isocetyl stearate,30
glycine soja (soybean) protein,glycine soja (soybean) protein,30
potassium chloride,potassium chloride,30
dipalmitoyl hydroxyproline,dipalmitoyl hydroxyproline,30
c18-36 acid triglyceride,c18-36 acid triglyceride,30
flavor,flavor,29
euterpe oleracea fruit extract,euterpe oleracea fruit extract,29
magnesium nitrate,magnesium nitrate,29
cera alba/beeswax/cire d’abeille,cera alba/beeswax/cire d’abeille,29
centaurea cyanus flower water,centaurea cyanus flower water,29
melanin,melanin,29
xylose,xylose,29
ethylhexyl isononanoate,ethylhexyl isononanoate,29
salix nigra (willow) bark extract,salix nigra (willow) bark extract,29
borago officinalis (borage) leaf extract*,borago officinalis (borage) leaf extract,29
adansonia digitata seed oil (baobab oil),adansonia digitata seed oil (baobab oil),29
